

Idaho (PST) SNOTEL Site Banner Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 29 20:48:25 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
312,2015-01-01,00:00,    10.3,    14.2,   -13.9,      41,
312,2015-01-01,01:00,    10.1,    14.2,   -16.1,      41,
312,2015-01-01,02:00,    10.1,    14.2,   -15.2,      41,
312,2015-01-01,03:00,    10.2,    14.2,   -15.1,      41,
312,2015-01-01,04:00,    10.2,    14.2,   -15.8,      40,
312,2015-01-01,05:00,    10.2,    14.2,   -15.4,      41,
312,2015-01-01,06:00,    10.1,    14.2,   -15.4,      41,
312,2015-01-01,07:00,    10.2,    14.2,   -15.0,      41,
312,2015-01-01,08:00,    10.1,    14.2,   -14.6,      40,
312,2015-01-01,09:00,    10.1,    14.2,   -13.6,      41,
312,2015-01-01,10:00,    10.2,    14.2,    -9.6,      40,
312,2015-01-01,11:00,    10.2,    14.2,    -6.7,      41,
312,2015-01-01,12:00,    10.2,    14.2,    -3.9,      40,
312,2015-01-01,13:00,    10.3,    14.2,    -3.7,      41,
312,2015-01-01,14:00,    10.2,    14.2,    -4.6,      41,
312,2015-01-01,15:00,    10.2,    14.2,    -6.0,      41,
312,2015-01-01,16:00,    10.2,    14.2,    -9.2,      41,
312,2015-01-01,17:00,    10.2,    14.2,    -9.6,      41,
312,2015-01-01,18:00,    10.2,    14.2,   -10.2,      41,
312,2015-01-01,19:00,    10.2,    14.2,   -10.0,      41,
312,2015-01-01,20:00,    10.2,    14.3,   -10.5,      41,
312,2015-01-01,21:00,    10.2,    14.2,   -11.3,      41,
312,2015-01-01,22:00,    10.2,    14.3,   -11.8,      41,
312,2015-01-01,23:00,    10.1,    14.2,   -13.2,      41,
312,2015-01-02,00:00,    10.3,    14.3,   -12.3,      40,
312,2015-01-02,01:00,    10.2,    14.3,   -13.3,      41,
312,2015-01-02,02:00,    10.2,    14.3,   -13.3,      41,
312,2015-01-02,03:00,    10.1,    14.3,   -14.6,      40,
312,2015-01-02,04:00,    10.1,    14.3,   -13.6,      41,
312,2015-01-02,05:00,    10.1,    14.2,   -14.2,      40,
312,2015-01-02,06:00,    10.1,    14.2,   -13.9,      40,
312,2015-01-02,07:00,    10.1,    14.3,   -13.5,      40,
312,2015-01-02,08:00,    10.1,    14.2,   -12.0,      40,
312,2015-01-02,09:00,    10.1,    14.2,    -9.2,      41,
312,2015-01-02,10:00,    10.2,    14.2,    -7.1,      40,
312,2015-01-02,11:00,    10.2,    14.3,    -3.7,      40,
312,2015-01-02,12:00,    10.2,    14.2,    -3.0,      40,
312,2015-01-02,13:00,    10.2,    14.2,    -1.9,      40,
312,2015-01-02,14:00,    10.2,    14.2,    -3.7,      40,
312,2015-01-02,15:00,    10.2,    14.2,    -5.1,      40,
312,2015-01-02,16:00,    10.2,    14.2,    -6.0,      41,
312,2015-01-02,17:00,    10.3,    14.3,    -6.2,-99.9,
312,2015-01-02,18:00,    10.3,    14.3,    -6.1,      41,
312,2015-01-02,19:00,    10.3,    14.3,    -6.3,      41,
312,2015-01-02,20:00,    10.3,    14.3,    -6.7,      41,
312,2015-01-02,21:00,    10.3,    14.3,    -6.5,      41,
312,2015-01-02,22:00,    10.3,    14.3,    -6.8,      41,
312,2015-01-02,23:00,    10.3,    14.3,    -7.1,      41,
312,2015-01-03,00:00,    10.3,    14.3,    -7.2,      41,
312,2015-01-03,01:00,    10.3,    14.3,    -7.0,      41,
312,2015-01-03,02:00,    10.3,    14.3,    -6.9,      40,
312,2015-01-03,03:00,    10.3,    14.3,    -6.7,      39,
312,2015-01-03,04:00,    10.3,    14.3,    -5.8,-99.9,
312,2015-01-03,05:00,    10.3,    14.3,    -6.8,-99.9,
312,2015-01-03,06:00,    10.3,    14.3,    -7.4,-99.9,
312,2015-01-03,07:00,    10.3,    14.3,    -7.9,-99.9,
312,2015-01-03,08:00,    10.3,    14.3,    -7.4,-99.9,
312,2015-01-03,09:00,    10.3,    14.3,    -5.6,-99.9,
312,2015-01-03,10:00,    10.3,    14.3,    -2.5,-99.9,
312,2015-01-03,11:00,    10.3,    14.3,    -2.9,-99.9,
312,2015-01-03,12:00,    10.3,    14.3,    -0.6,-99.9,
312,2015-01-03,13:00,    10.3,    14.4,    -1.8,-99.9,
312,2015-01-03,14:00,    10.3,    14.4,    -3.0,-99.9,
312,2015-01-03,15:00,    10.3,    14.4,    -3.8,-99.9,
312,2015-01-03,16:00,    10.3,    14.4,    -5.5,-99.9,
312,2015-01-03,17:00,    10.3,    14.4,    -6.0,-99.9,
312,2015-01-03,18:00,    10.3,    14.4,    -7.0,-99.9,
312,2015-01-03,19:00,    10.3,    14.4,    -7.6,-99.9,
312,2015-01-03,20:00,    10.2,    14.4,    -8.0,-99.9,
312,2015-01-03,21:00,    10.2,    14.4,    -7.4,-99.9,
312,2015-01-03,22:00,    10.3,    14.4,    -6.7,-99.9,
312,2015-01-03,23:00,    10.3,    14.4,    -7.2,-99.9,
312,2015-01-04,00:00,    10.3,    14.4,    -6.9,      41,
312,2015-01-04,01:00,    10.3,    14.4,    -6.3,      40,
312,2015-01-04,02:00,    10.3,    14.4,    -6.6,      40,
312,2015-01-04,03:00,    10.3,    14.4,    -7.1,      40,
312,2015-01-04,04:00,    10.3,    14.5,    -7.4,      40,
312,2015-01-04,05:00,    10.3,    14.4,    -7.4,      40,
